stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
614,614,"C/ Purcell, ft 1047 _TRV",38.0202,-0.6918,
615,615,"Av. Robleda, 9 _TRV",38.0224,-0.6957,
616,616,"Av. Baracaldo, ft 76 _TRV",38.0232,-0.6987,
617,617,"Pza. Tolosa, s/n _TRV",38.0215,-0.7028,
620,620,"Av. Ópera, ft 1 _TRV",37.9982,-0.6893,
621,621,"C/ Francisco Díez Martínez, 160 _TRV",37.9945,-0.6864,
622,622,"C/ Francisco Atienza Ferrandez, s/n (Carref.) _TRV",37.9921,-0.6855,
623,623,"Ctra. CV-905, s/n (Policia Local) _TRV",37.9915,-0.6889,
625,625,"C/ Villa Madrid, s/n (Bajo N-332) _TRV",37.9827,-0.6902,
626,626,"C/ Guridi, ft 12 _TRV",38.0103,-0.6941,
653,653,"Av. de las Urracas, ft 85 _TRV",37.9968,-0.698,
654,654,"C/ Urano, 610 _TRV",37.9987,-0.7007,
655,655,"C/ Cerezo, 5C _TRV",38.0009,-0.7028,
656,656,"C/ Manuel Rodríguez Manolete, 66 _TRV",38.0014,-0.6991,
657,657,"C/ Paloma, ft 2 _TRV",38.005,-0.6964,
658,658,"C/ Vicente Solano Ruiz, 33 _TRV",38.0066,-0.6943,
659,659,"C/ Antonio Conesa Morales, 22 _TRV",38.0086,-0.6948,
660,660,"C/ Antonio Conesa Morales, ft 10 _TRV",38.0089,-0.6948,
661,661,"C/ Vicente Solano Ruiz, 3 _TRV",38.0067,-0.6944,
662,662,C/ Paco Camino s/n_TRV,38.0053,-0.6966,
663,663,"C/ Manuel Rodríguez Manolete, 619_TRV",38.0014,-0.6991,
664,664,"C/ Cerezo, ft 5C_TRV",38.0009,-0.7029,
665,665,"C/ Urano, ft 610_TRV",37.9986,-0.701,
666,666,"Av. de las Urracas, 85 _TRV",37.9967,-0.6979,
667,667,"Av. los Nenúfares, 932 _TRV",37.9966,-0.6913,
668,668,"Av. los Nenúfares, s/n _TRV",37.9941,-0.691,
669,669,"Av. Rosa Mazón Valero, s/n (C.C. Habaneras) _TRV",37.9898,-0.6857,
670,670,"C/ Urbano Arregui, 6 (C.Salud) _TRV",37.9775,-0.693,
701,701,"Av. Pinoso, s/n  (cinta sal) _TRV",37.9722,-0.6954,
702,702,"Av. Desiderio Rodríguez, 120 _TRV",37.9671,-0.6995,
703,703,"Av. Desiderio Rodríguez, s/n (C.C.) _TRV",37.9625,-0.7038,
705,705,"Av. de la Asunción, 10 _TRV",37.9624,-0.7238,
710,710,"Av. Angel García Rogel, ft 36 _TRV",37.9607,-0.7329,
711,711,"Av. Angel García Rogel, 1 _TRV",37.9646,-0.7316,
712,712,"Av. Laguna Azul, 1 _TRV",37.9623,-0.7384,
713,713,"Av. Laguna Azul, ft 135 _TRV",37.9642,-0.7359,
715,715,"Av. Desiderio Rodríguez, s/n (ft. C.C.) _TRV",37.9629,-0.7032,
716,716,"Av. Desiderio Rodríguez, 31 _TRV",37.9671,-0.6994,
717,717,"Av. Dr. Gregorio Marañón, ft 80 _TRV",37.9719,-0.6947,
722,722,"CV-95, s/n (ft. Hotel Dña Monse) _TRV",37.9654,-0.7324,
723,723,"CV- 95, s/n (Hotel Dña Monse) _TRV",37.9656,-0.7333,
724,724,"CV-95, (ft C/ Ucrania, 30) _TRV",37.9636,-0.724,
750,750,"Pº de los Conquistadores, s/n _TRV",37.9573,-0.7038,
751,751,"Av. Don Juan de Austria, 4 _TRV",37.9574,-0.7058,
752,752,"C/ Churruca, 5 _TRV",37.9591,-0.706,
753,753,"Av. Tomás Boj Andreu, 39 _TRV",37.9587,-0.7177,
754,754,"C/ La Sagra, 55 _TRV",37.9567,-0.7192,
755,755,"C/ La Sagra, 164 _TRV",37.9567,-0.7232,
756,756,"C/ La Sagra, 44 _TRV",37.9547,-0.7248,
759,759,"C/ Escorpiones, 1 _TRV",37.9486,-0.716,
760,760,"Av. Las Olas, 22 _TRV",37.9478,-0.7126,
762,762,"Av. Las Olas, 5 _TRV",37.9479,-0.7123,
763,763,"C/ Escorpiones, s/n (C.C) _TRV",37.9488,-0.716,
765,765,"Av. Tomás Boj Andreu, ft 39 _TRV",37.9588,-0.7176,
766,766,"Av. Dr. Gregorio Marañón, 29 _TRV",37.9765,-0.6905,
777,777,"Av. Angel García Rogel, 4_TRV",37.9647,-0.7316,
976,976,"Av. de la Asunción, 40 _TRV",37.959,-0.7254,
977,977,"C/ Carla Vaquera, s/n (ft. Plz. Tomás) _TRV",37.9599,-0.7285,
978,978,"C/ Calpe, s/n _TRV",37.9654,-0.7361,
979,979,"C/ Teulada, 37 _TRV",37.9652,-0.7388,
980,980,"Av. de Denia, s/n (ft. C.C.) _TRV",37.9675,-0.7419,
981,981,"C/ Javea, 11 _TRV",37.967,-0.7381,
982,982,"Av. Angel García Rogel, 36 _TRV",37.9608,-0.7329,
983,983,"C/ Carla Vaquera, s/n (Plz. Tomás) _TRV",37.96,-0.7288,
984,984,"C/ Iradier Bal, 31 _TRV",37.9591,-0.7248,
985,985,"C/ Ramón Gallud, 106 _TRV",37.9775,-0.6768,
987,987,"C/ Ramón Gallud, 198 _TRV",37.9787,-0.6698,
988,988,"C/ Apolo, 66 _TRV",37.9811,-0.679,
990,990,"Av. Cortes Valencianas, 48 _TRV",37.9896,-0.6761,
991,991,"Av. Diego Ramírez Pastor, 1 (Biblioteca) _TRV",37.9793,-0.6909,
992,992,"Av. Baleares, 83 _TRV",37.9893,-0.6641,
993,993,"Av. de Córcega, 13 _TRV",37.9914,-0.6678,
994,994,"Av. de la Mancha, 40 _TRV",37.9966,-0.6659,
995,995,"Av. Monge y Bielsa, s/n (Zona deportiva) _TRV",37.9966,-0.6758,
996,996,"Av. Delfina Viudes, 1 _TRV",37.9932,-0.6798,
997,997,"Av. Espuña, 89 (C.C. Los Altos) _TRV",37.9543,-0.7213,
998,998,"C/ Manzanilla, 92 _TRV",37.9517,-0.7187,
999,999,"C/ Manzanilla, ft 92 _TRV",37.9517,-0.7187,
1032,1032,"C/ Purcell, 1047_TRV",38.0201,-0.6917,
1034,1034,"C/ Granados, 66 _TRV",38.0165,-0.6873,
1038,1038,"Av. Asociación Victimas del Terrorismo, 190 _TRV",38.0024,-0.6739,
